Date,Year,Month,Date Label,Civilian Non-institutional Population,Civilian Labor Force,Labor Force Participation Rate,Employed,Employment Rate,Unemployed,Unemployment Rate
01/01/2007 12:00:00 AM,2007,01,Jan 2007,4312014,2973568,69,2864870,66.4,108698,3.7
02/01/2007 12:00:00 AM,2007,02,Feb 2007,4314108,2970937,68.9,2864666,66.4,106271,3.6
03/01/2007 12:00:00 AM,2007,03,Mar 2007,4316235,2968053,68.8,2863964,66.4,104089,3.5
04/01/2007 12:00:00 AM,2007,04,Apr 2007,4318781,2965743,68.7,2863381,66.3,102362,3.5
05/01/2007 12:00:00 AM,2007,05,May 2007,4321081,2964741,68.6,2863307,66.3,101434,3.4
06/01/2007 12:00:00 AM,2007,06,Jun 2007,4323615,2965230,68.6,2863969,66.2,101261,3.4
07/01/2007 12:00:00 AM,2007,07,Jul 2007,4326118,2966862,68.6,2865296,66.2,101566,3.4
08/01/2007 12:00:00 AM,2007,08,Aug 2007,4329119,2969124,68.6,2867129,66.2,101995,3.4
09/01/2007 12:00:00 AM,2007,09,Sep 2007,4332260,2971577,68.6,2869542,66.2,102035,3.4
10/01/2007 12:00:00 AM,2007,10,Oct 2007,4335243,2973802,68.6,2872323,66.3,101479,3.4
11/01/2007 12:00:00 AM,2007,11,Nov 2007,4337998,2975689,68.6,2875324,66.3,100365,3.4
12/01/2007 12:00:00 AM,2007,12,Dec 2007,4340521,2977656,68.6,2878453,66.3,99203,3.3
01/01/2008 12:00:00 AM,2008,01,Jan 2008,4342905,2979991,68.6,2881089,66.3,98902,3.3
02/01/2008 12:00:00 AM,2008,02,Feb 2008,4344772,2982769,68.7,2882735,66.3,100034,3.4
03/01/2008 12:00:00 AM,2008,03,Mar 2008,4346938,2986217,68.7,2883236,66.3,102981,3.4
04/01/2008 12:00:00 AM,2008,04,Apr 2008,4349192,2990264,68.8,2882606,66.3,107658,3.6
05/01/2008 12:00:00 AM,2008,05,May 2008,4351442,2994717,68.8,2881167,66.2,113550,3.8
06/01/2008 12:00:00 AM,2008,06,Jun 2008,4354007,2999538,68.9,2879383,66.1,120155,4
07/01/2008 12:00:00 AM,2008,07,Jul 2008,4356418,3004426,69,2877410,66,127016,4.2
08/01/2008 12:00:00 AM,2008,08,Aug 2008,4360469,3009085,69,2875001,65.9,134084,4.5
09/01/2008 12:00:00 AM,2008,09,Sep 2008,4364380,3013634,69.1,2871664,65.8,141970,4.7
10/01/2008 12:00:00 AM,2008,10,Oct 2008,4368415,3018207,69.1,2866984,65.6,151223,5
11/01/2008 12:00:00 AM,2008,11,Nov 2008,4372021,3022477,69.1,2860729,65.4,161748,5.4
12/01/2008 12:00:00 AM,2008,12,Dec 2008,4375176,3026042,69.2,2853106,65.2,172936,5.7
01/01/2009 12:00:00 AM,2009,01,Jan 2009,4378599,3028765,69.2,2844852,65,183913,6.1
02/01/2009 12:00:00 AM,2009,02,Feb 2009,4381626,3030766,69.2,2836954,64.7,193812,6.4
03/01/2009 12:00:00 AM,2009,03,Mar 2009,4384547,3032199,69.2,2830424,64.6,201775,6.7
04/01/2009 12:00:00 AM,2009,04,Apr 2009,4387555,3033061,69.1,2825729,64.4,207332,6.8
05/01/2009 12:00:00 AM,2009,05,May 2009,4390739,3033247,69.1,2822386,64.3,210861,7
06/01/2009 12:00:00 AM,2009,06,Jun 2009,4393922,3032958,69,2819760,64.2,213198,7
07/01/2009 12:00:00 AM,2009,07,Jul 2009,4397413,3032522,69,2817284,64.1,215238,7.1
08/01/2009 12:00:00 AM,2009,08,Aug 2009,4401975,3032228,68.9,2814713,63.9,217515,7.2
09/01/2009 12:00:00 AM,2009,09,Sep 2009,4406548,3032186,68.8,2811931,63.8,220255,7.3
10/01/2009 12:00:00 AM,2009,10,Oct 2009,4411347,3032767,68.7,2808995,63.7,223772,7.4
11/01/2009 12:00:00 AM,2009,11,Nov 2009,4415406,3034991,68.7,2806870,63.6,228121,7.5
12/01/2009 12:00:00 AM,2009,12,Dec 2009,4419022,3039460,68.8,2806783,63.5,232677,7.7
01/01/2010 12:00:00 AM,2010,01,Jan 2010,4422798,3045709,68.9,2809483,63.5,236226,7.8
02/01/2010 12:00:00 AM,2010,02,Feb 2010,4426148,3052675,69,2814636,63.6,238039,7.8
03/01/2010 12:00:00 AM,2010,03,Mar 2010,4429620,3059579,69.1,2821365,63.7,238214,7.8
04/01/2010 12:00:00 AM,2010,04,Apr 2010,4490957,3066143,68.3,2828799,63,237344,7.7
05/01/2010 12:00:00 AM,2010,05,May 2010,4495141,3071885,68.3,2836057,63.1,235828,7.7
06/01/2010 12:00:00 AM,2010,06,Jun 2010,4499360,3076363,68.4,2842041,63.2,234322,7.6
07/01/2010 12:00:00 AM,2010,07,Jul 2010,4503931,3079776,68.4,2846212,63.2,233564,7.6
08/01/2010 12:00:00 AM,2010,08,Aug 2010,4508753,3082617,68.4,2848902,63.2,233715,7.6
09/01/2010 12:00:00 AM,2010,09,Sep 2010,4513381,3085181,68.4,2850945,63.2,234236,7.6
10/01/2010 12:00:00 AM,2010,10,Oct 2010,4518311,3087456,68.3,2853374,63.2,234082,7.6
11/01/2010 12:00:00 AM,2010,11,Nov 2010,4522549,3089014,68.3,2856294,63.2,232720,7.5
12/01/2010 12:00:00 AM,2010,12,Dec 2010,4526713,3089859,68.3,2859358,63.2,230501,7.5
01/01/2011 12:00:00 AM,2011,01,Jan 2011,4530697,3090479,68.2,2862249,63.2,228230,7.4
02/01/2011 12:00:00 AM,2011,02,Feb 2011,4534196,3091021,68.2,2864605,63.2,226416,7.3
03/01/2011 12:00:00 AM,2011,03,Mar 2011,4537910,3091247,68.1,2866135,63.2,225112,7.3
04/01/2011 12:00:00 AM,2011,04,Apr 2011,4541603,3091373,68.1,2866735,63.1,224638,7.3
05/01/2011 12:00:00 AM,2011,05,May 2011,4545422,3092081,68,2866875,63.1,225206,7.3
06/01/2011 12:00:00 AM,2011,06,Jun 2011,4549356,3093578,68,2867381,63,226197,7.3
07/01/2011 12:00:00 AM,2011,07,Jul 2011,4553755,3095695,68,2869031,63,226664,7.3
08/01/2011 12:00:00 AM,2011,08,Aug 2011,4558225,3098139,68,2871972,63,226167,7.3
09/01/2011 12:00:00 AM,2011,09,Sep 2011,4562789,3100657,68,2875949,63,224708,7.2
10/01/2011 12:00:00 AM,2011,10,Oct 2011,4567499,3103191,67.9,2880494,63.1,222697,7.2
11/01/2011 12:00:00 AM,2011,11,Nov 2011,4571417,3105475,67.9,2884942,63.1,220533,7.1
12/01/2011 12:00:00 AM,2011,12,Dec 2011,4575387,3107187,67.9,2888674,63.1,218513,7
01/01/2012 12:00:00 AM,2012,01,Jan 2012,4579401,3108528,67.9,2891475,63.1,217053,7
02/01/2012 12:00:00 AM,2012,02,Feb 2012,4583186,3109961,67.9,2893448,63.1,216513,7
03/01/2012 12:00:00 AM,2012,03,Mar 2012,4586895,3111600,67.8,2894610,63.1,216990,7
04/01/2012 12:00:00 AM,2012,04,Apr 2012,4590674,3113159,67.8,2895270,63.1,217889,7
05/01/2012 12:00:00 AM,2012,05,May 2012,4594466,3114818,67.8,2896228,63,218590,7
06/01/2012 12:00:00 AM,2012,06,Jun 2012,4598496,3116856,67.8,2898073,63,218783,7
07/01/2012 12:00:00 AM,2012,07,Jul 2012,4602670,3119340,67.8,2900954,63,218386,7
08/01/2012 12:00:00 AM,2012,08,Aug 2012,4606251,3122375,67.8,2904721,63.1,217654,7
09/01/2012 12:00:00 AM,2012,09,Sep 2012,4609947,3125936,67.8,2908979,63.1,216957,6.9
10/01/2012 12:00:00 AM,2012,10,Oct 2012,4613618,3129327,67.8,2912948,63.1,216379,6.9
11/01/2012 12:00:00 AM,2012,11,Nov 2012,4617000,3132092,67.8,2916116,63.2,215976,6.9
12/01/2012 12:00:00 AM,2012,12,Dec 2012,4620134,3133899,67.8,2918293,63.2,215606,6.9
01/01/2013 12:00:00 AM,2013,01,Jan 2013,4623009,3134588,67.8,2919421,63.1,215167,6.9
02/01/2013 12:00:00 AM,2013,02,Feb 2013,4625422,3134392,67.8,2919922,63.1,214470,6.8
03/01/2013 12:00:00 AM,2013,03,Mar 2013,4627891,3133730,67.7,2920462,63.1,213268,6.8
04/01/2013 12:00:00 AM,2013,04,Apr 2013,4630570,3132990,67.7,2921598,63.1,211392,6.7
05/01/2013 12:00:00 AM,2013,05,May 2013,4633589,3132238,67.6,2922988,63.1,209250,6.7
06/01/2013 12:00:00 AM,2013,06,Jun 2013,4636665,3131551,67.5,2924211,63.1,207340,6.6
07/01/2013 12:00:00 AM,2013,07,Jul 2013,4640019,3130720,67.5,2925103,63,205617,6.6
08/01/2013 12:00:00 AM,2013,08,Aug 2013,4642993,3129141,67.4,2925572,63,203569,6.5
09/01/2013 12:00:00 AM,2013,09,Sep 2013,4645967,3126736,67.3,2925718,63,201018,6.4
10/01/2013 12:00:00 AM,2013,10,Oct 2013,4648861,3124293,67.2,2925915,62.9,198378,6.3
11/01/2013 12:00:00 AM,2013,11,Nov 2013,4651401,3122467,67.1,2926606,62.9,195861,6.3
12/01/2013 12:00:00 AM,2013,12,Dec 2013,4653835,3121406,67.1,2927943,62.9,193463,6.2
01/01/2014 12:00:00 AM,2014,01,Jan 2014,4656247,3115253,66.9,2924909,62.8,190344,6.1
02/01/2014 12:00:00 AM,2014,02,Feb 2014,4658276,3115406,66.9,2927511,62.8,187895,6
03/01/2014 12:00:00 AM,2014,03,Mar 2014,4660475,3116395,66.9,2930290,62.9,186105,6
04/01/2014 12:00:00 AM,2014,04,Apr 2014,4662739,3117945,66.9,2932833,62.9,185112,5.9
05/01/2014 12:00:00 AM,2014,05,May 2014,4664986,3119672,66.9,2935393,62.9,184279,5.9
06/01/2014 12:00:00 AM,2014,06,Jun 2014,4667509,3121560,66.9,2938490,63,183070,5.9
07/01/2014 12:00:00 AM,2014,07,Jul 2014,4670184,3123563,66.9,2942049,63,181514,5.8
08/01/2014 12:00:00 AM,2014,08,Aug 2014,4673104,3125809,66.9,2945982,63,179827,5.8
09/01/2014 12:00:00 AM,2014,09,Sep 2014,4676174,3128126,66.9,2950057,63.1,178069,5.7
10/01/2014 12:00:00 AM,2014,10,Oct 2014,4679182,3129996,66.9,2953855,63.1,176141,5.6
11/01/2014 12:00:00 AM,2014,11,Nov 2014,4681748,3131085,66.9,2957030,63.2,174055,5.6
12/01/2014 12:00:00 AM,2014,12,Dec 2014,4683833,3131935,66.9,2959765,63.2,172170,5.5
01/01/2015 12:00:00 AM,2015,01,Jan 2015,4686097,3133065,66.9,2962468,63.2,170597,5.4
02/01/2015 12:00:00 AM,2015,02,Feb 2015,4687787,3134619,66.9,2965436,63.3,169183,5.4
03/01/2015 12:00:00 AM,2015,03,Mar 2015,4689506,3136510,66.9,2969030,63.3,167480,5.3
04/01/2015 12:00:00 AM,2015,04,Apr 2015,4691387,3138441,66.9,2973073,63.4,165368,5.3
05/01/2015 12:00:00 AM,2015,05,May 2015,4693538,3139965,66.9,2976936,63.4,163029,5.2
06/01/2015 12:00:00 AM,2015,06,Jun 2015,4696139,3140681,66.9,2980025,63.5,160656,5.1
07/01/2015 12:00:00 AM,2015,07,Jul 2015,4698645,3140811,66.8,2982408,63.5,158403,5
08/01/2015 12:00:00 AM,2015,08,Aug 2015,4700277,3140731,66.8,2984495,63.5,156236,5
09/01/2015 12:00:00 AM,2015,09,Sep 2015,4701844,3140790,66.8,2986829,63.5,153961,4.9
10/01/2015 12:00:00 AM,2015,10,Oct 2015,4703487,3141638,66.8,2990030,63.6,151608,4.8
11/01/2015 12:00:00 AM,2015,11,Nov 2015,4704830,3143536,66.8,2994191,63.6,149345,4.8
12/01/2015 12:00:00 AM,2015,12,Dec 2015,4705729,3145884,66.9,2998704,63.7,147180,4.7
01/01/2016 12:00:00 AM,2016,01,Jan 2016,4706962,3147857,66.9,3002783,63.8,145074,4.6
02/01/2016 12:00:00 AM,2016,02,Feb 2016,4707907,3149160,66.9,3005939,63.8,143221,4.5
03/01/2016 12:00:00 AM,2016,03,Mar 2016,4708611,3149882,66.9,3008189,63.9,141693,4.5
04/01/2016 12:00:00 AM,2016,04,Apr 2016,4709629,3150697,66.9,3010035,63.9,140662,4.5
05/01/2016 12:00:00 AM,2016,05,May 2016,4710605,3152382,66.9,3012167,63.9,140215,4.4
06/01/2016 12:00:00 AM,2016,06,Jun 2016,4711652,3155138,67,3014940,64,140198,4.4
07/01/2016 12:00:00 AM,2016,07,Jul 2016,4713059,3158799,67,3018498,64,140301,4.4
08/01/2016 12:00:00 AM,2016,08,Aug 2016,4715608,3163194,67.1,3022702,64.1,140492,4.4
09/01/2016 12:00:00 AM,2016,09,Sep 2016,4718165,3168042,67.1,3027246,64.2,140796,4.4
10/01/2016 12:00:00 AM,2016,10,Oct 2016,4720644,3172656,67.2,3031777,64.2,140879,4.4
11/01/2016 12:00:00 AM,2016,11,Nov 2016,4722865,3176743,67.3,3036216,64.3,140527,4.4
12/01/2016 12:00:00 AM,2016,12,Dec 2016,4724739,3180330,67.3,3040514,64.4,139816,4.4
01/01/2017 12:00:00 AM,2017,01,Jan 2017,4726493,3183559,67.4,3044567,64.4,138992,4.4
02/01/2017 12:00:00 AM,2017,02,Feb 2017,4727969,3186405,67.4,3048284,64.5,138121,4.3
03/01/2017 12:00:00 AM,2017,03,Mar 2017,4729283,3188672,67.4,3051370,64.5,137302,4.3
04/01/2017 12:00:00 AM,2017,04,Apr 2017,4730866,3190566,67.4,3054053,64.6,136513,4.3
05/01/2017 12:00:00 AM,2017,05,May 2017,4732502,3192324,67.5,3056697,64.6,135627,4.2
06/01/2017 12:00:00 AM,2017,06,Jun 2017,4734192,3194114,67.5,3059291,64.6,134823,4.2
07/01/2017 12:00:00 AM,2017,07,Jul 2017,4736160,3195917,67.5,3061578,64.6,134339,4.2
08/01/2017 12:00:00 AM,2017,08,Aug 2017,4738363,3197241,67.5,3063089,64.6,134152,4.2
09/01/2017 12:00:00 AM,2017,09,Sep 2017,4740445,3197963,67.5,3063736,64.6,134227,4.2
10/01/2017 12:00:00 AM,2017,10,Oct 2017,4742612,3198349,67.4,3063803,64.6,134546,4.2
11/01/2017 12:00:00 AM,2017,11,Nov 2017,4744270,3198493,67.4,3063586,64.6,134907,4.2
12/01/2017 12:00:00 AM,2017,12,Dec 2017,4745688,3198552,67.4,3063616,64.6,134936,4.2
01/01/2018 12:00:00 AM,2018,01,Jan 2018,4746960,3198871,67.4,3064361,64.6,134510,4.2
02/01/2018 12:00:00 AM,2018,02,Feb 2018,4748302,3199673,67.4,3066024,64.6,133649,4.2
03/01/2018 12:00:00 AM,2018,03,Mar 2018,4749392,3200719,67.4,3068276,64.6,132443,4.1
04/01/2018 12:00:00 AM,2018,04,Apr 2018,4750814,3201039,67.4,3070102,64.6,130937,4.1
05/01/2018 12:00:00 AM,2018,05,May 2018,4752202,3200100,67.3,3070854,64.6,129246,4
06/01/2018 12:00:00 AM,2018,06,Jun 2018,4753778,3198174,67.3,3070922,64.6,127252,4
07/01/2018 12:00:00 AM,2018,07,Jul 2018,4755567,3196037,67.2,3071285,64.6,124752,3.9
08/01/2018 12:00:00 AM,2018,08,Aug 2018,4757704,3194029,67.1,3071907,64.6,122122,3.8
09/01/2018 12:00:00 AM,2018,09,Sep 2018,4759770,3193191,67.1,3073396,64.6,119795,3.8
10/01/2018 12:00:00 AM,2018,10,Oct 2018,4761911,3193198,67.1,3074970,64.6,118228,3.7
11/01/2018 12:00:00 AM,2018,11,Nov 2018,4763428,3193774,67,3075542,64.6,118232,3.7
12/01/2018 12:00:00 AM,2018,12,Dec 2018,4764737,3194248,67,3075662,64.6,118586,3.7
01/01/2019 12:00:00 AM,2019,1,Jan 2019,4765889,3197872,67.1,3079043,64.6,118829,3.7
02/01/2019 12:00:00 AM,2019,2,Feb 2019,4767040,3202958,67.2,3083356,64.7,119602,3.7
03/01/2019 12:00:00 AM,2019,3,Mar 2019,4768033,3207534,67.3,3086733,64.7,120801,3.8
04/01/2019 12:00:00 AM,2019,4,Apr 2019,4769271,3211021,67.3,3089727,64.8,121294,3.8
05/01/2019 12:00:00 AM,2019,5,May 2019,4770632,3216399,67.4,3094384,64.9,122015,3.8
06/01/2019 12:00:00 AM,2019,6,Jun 2019,4772165,3223860,67.6,3101958,65,121902,3.8
07/01/2019 12:00:00 AM,2019,7,Jul 2019,4773919,3233000,67.7,3111045,65.2,121955,3.8
08/01/2019 12:00:00 AM,2019,8,Aug 2019,4776070,3244922,67.9,3122912,65.4,122010,3.8
